#{"t_start": 1762103691.916736, "env_id": "None"}
r,l,t
-999.0625,199,22.869817
-999.0625,199,22.952371
-999.0625,199,23.034515
-999.0625,199,23.117516
-999.0625,199,23.202061
-999.0625,199,23.283231
-999.0625,199,23.365778
-999.0625,199,23.448634
-999.0625,199,23.531156
-999.0625,199,23.61557
-999.0625,199,23.698337
-999.0625,199,23.779742
-999.0625,199,24.132104
-999.0625,199,24.224648
-999.0625,199,24.312243
-999.0625,199,24.390118
-999.0625,199,24.470172
-999.0625,199,24.556628
-999.0625,199,24.640464
-999.0625,199,24.725565
-999.0625,199,24.808867
-999.0625,199,24.890478
-999.0625,199,24.975205
-999.0625,199,25.056744
-999.0625,199,25.142236
-999.0625,199,25.223896
-999.0625,199,25.307793
-999.0625,199,25.391508
-999.0625,199,25.47484
-999.0625,199,25.560584
-999.0625,199,25.641755
-999.0625,199,25.725119
-999.0625,199,25.810726
-999.0625,199,25.893329
-999.0625,199,25.977766
-999.0625,199,26.059917
-999.0625,199,26.144057
-999.0625,199,26.49688
-999.0625,199,26.583764
-999.0625,199,26.668474
-999.0625,199,26.771658
-999.0625,199,26.854203
-999.0625,199,26.936875
-999.0625,199,27.017484
-999.0625,199,27.104251
-999.0625,199,27.187793
-999.0625,199,27.270615
-999.0625,199,27.357658
-999.0625,199,27.4392
-999.0625,199,27.521858
-999.0625,199,27.605485
-999.0625,199,27.68842
-999.0625,199,27.774068
-999.0625,199,27.855039
-999.0625,199,27.939295
-999.0625,199,28.022425
-999.0625,199,28.105243
-999.0625,199,28.192036
-999.0625,199,28.27233
-999.0625,199,28.357398
-999.0625,199,28.440594
-999.0625,199,28.523695
-999.0625,199,28.87662
-999.0625,199,28.960423
-999.0625,199,29.044202
-999.0625,199,29.128632
-999.0625,199,29.213094
-999.0625,199,29.300028
-999.0625,199,29.383621
-999.0625,199,29.466133
-999.0625,199,29.55135
-999.0625,199,29.632349
-999.0625,199,29.716739
-999.0625,199,29.799739
-999.0625,199,29.882619
-999.0625,199,29.965708
-999.0625,199,30.047527
-999.0625,199,30.132237
-999.0625,199,30.213658
-999.0625,199,30.295368
-999.0625,199,30.376958
-999.0625,199,30.45901
-999.0625,199,30.543855
-999.0625,199,30.627178
-999.0625,199,30.710062
-999.0625,199,30.792196
-999.0625,199,30.874892
-999.0625,199,31.224819
-999.0625,199,31.306953
-999.0625,199,31.39109
-999.0625,199,31.475776
-999.0625,199,31.559169
-999.0625,199,31.643139
-999.0625,199,31.725278
-999.0625,199,31.807586
-999.0625,199,31.89188
-999.0625,199,31.973549
-999.0625,199,32.058893
-999.0625,199,32.139854
-999.0625,199,32.223047
-999.0625,199,32.310191
-999.0625,199,32.393124
-999.0625,199,32.478224
-999.0625,199,32.562422
-999.0625,199,32.644936
-999.0625,199,32.731281
-999.0625,199,32.815514
-999.0625,199,32.900453
-999.0625,199,32.982947
-999.0625,199,33.065784
-1478.875,199,33.149523
-999.0625,199,33.232395
-999.0625,199,33.583091
-999.0625,199,33.666339
-999.0625,199,33.749622
-999.0625,199,33.833936
-999.0625,199,33.916783
-999.0625,199,34.002162
-999.0625,199,34.086727
-999.0625,199,34.168835
-999.0625,199,34.25662
-1606.6875,199,34.339967
-999.0625,199,34.426308
-999.0625,199,34.509844
-999.0625,199,34.593372
-999.0625,199,34.677223
-999.0625,199,34.75931
-999.0625,199,34.84606
-999.0625,199,34.930068
-999.0625,199,35.011393
-999.0625,199,35.097082
-999.0625,199,35.17855
-999.0625,199,35.265142
-999.0625,199,35.349107
-999.0625,199,35.43262
-999.0625,199,35.518031
-999.0625,199,35.599489
-999.0625,199,35.952421
-999.0625,199,36.034812
-999.0625,199,36.116138
-999.0625,199,36.200179
-999.0625,199,36.284118
-999.0625,199,36.369465
-999.0625,199,36.451862
-999.0625,199,36.533174
-999.0625,199,36.617431
-999.0625,199,36.700014
-999.0625,199,36.783269
-999.0625,199,36.866552
-999.0625,199,36.947524
-999.0625,199,37.030991
-999.0625,199,37.114017
-999.0625,199,37.200081
-999.0625,199,37.295187
-999.0625,199,37.374015
-999.0625,199,37.454825
-999.0625,199,37.535518
-999.0625,199,37.618494
